houseid,property_type,beds,baths,sqft,lot_size,year_built,zipcode,latitude,longitude,list_price
3451,Single Family Residential,4.0,2.5,2541.0,5143.0,2006.0,77433,29.8923125,-95.7020778,313000
3453,Single Family Residential,4.0,3.0,3053.0,9962.0,1996.0,77059,29.6026167,-95.1100053,475000
3454,Single Family Residential,3.0,2.5,2124.0,,2023.0,77373,30.0661693,-95.3664606,345683
3458,Single Family Residential,5.0,4.0,3386.0,7080.0,2018.0,77018,29.8278599,-95.4470077,1149900
3460,Single Family Residential,5.0,4.0,1890.0,6000.0,1975.0,77044,29.852338,-95.2210195,185800
3467,Single Family Residential,5.0,3.5,4841.0,12213.0,2008.0,77092,29.8157767,-95.4532655,999000
3468,Single Family Residential,4.0,3.5,2604.0,5725.0,2013.0,77494,29.7002669,-95.7986985,480000
3469,Single Family Residential,3.0,2.0,1372.0,7516.0,1978.0,77086,29.9253345,-95.4816934,194900
3470,Single Family Residential,3.0,2.0,2093.0,251341.0,1978.0,77086,29.8993498,-95.4890258,1500000
3471,Single Family Residential,3.0,2.5,1615.0,1691.0,2022.0,77018,29.8302542,-95.3998352,375000
3472,Single Family Residential,1.0,2.0,1320.0,5504.0,1940.0,77023,29.7247667,-95.3172144,179578
3474,Single Family Residential,5.0,3.0,2848.0,6769.0,2008.0,77044,29.9700332,-95.163755,375000
3477,Single Family Residential,3.0,2.0,1408.0,8375.0,1977.0,77598,29.5259229,-95.1567079,274944
3478,Single Family Residential,3.0,2.0,1288.0,,2022.0,77047,29.894538,-95.435522,289990
3479,Single Family Residential,3.0,2.0,1678.0,7535.0,1979.0,77346,30.0121626,-95.1930526,233000
3480,Single Family Residential,4.0,2.5,2376.0,19798.0,2000.0,77389,30.1248907,-95.5526839,333000
3482,Single Family Residential,4.0,2.5,2672.0,38400.0,1969.0,77339,30.0479809,-95.2379041,439900
3483,Single Family Residential,3.0,1.5,1507.0,5775.0,1959.0,77045,29.6234568,-95.4364056,170000
3486,Single Family Residential,3.0,2.5,2530.0,44894.0,1960.0,77024,29.7642377,-95.5614386,700000
3487,Single Family Residential,4.0,4.0,4826.0,6300.0,1999.0,77006,29.7299828,-95.3966189,1775000
3488,Single Family Residential,4.0,2.0,2140.0,8421.0,1968.0,77080,29.8164951,-95.5363261,540000
3490,Single Family Residential,4.0,6.5,6488.0,11272.0,1997.0,77005,29.7242578,-95.4305732,3650000
